steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,,0.0,0,0.0209,0.0031,0.4209,0.0018,0.0256,0.0406,0.007
baseline,,0.0,1,0.0166,0.0012,0.0034,0.0008,0.4876,0.0115,0.0031
baseline,,0.0,2,0.1165,0.0533,0.0672,0.0016,0.0098,0.2191,0.0216
baseline,,0.0,3,0.1754,0.0044,0.0174,0.0016,0.0248,0.1794,0.0079
baseline,,0.0,4,0.0122,0.0042,1.0999,0.0021,0.0611,0.0389,0.005
baseline,,0.0,5,0.0155,0.0024,0.2287,0.0048,0.7218,0.041,0.0139
baseline,,0.0,6,0.024,0.0039,0.0108,0.014,0.0636,0.0461,0.0186
baseline,,0.0,7,0.0947,0.0155,0.0121,0.0185,0.0073,0.5232,0.0221
baseline,,0.0,8,0.0063,0.001,0.0042,0.001,0.7834,0.0174,0.001
baseline,,0.0,9,0.0066,0.0016,0.0135,0.0012,0.3517,0.0204,0.0036
baseline,,0.0,10,0.0295,0.0032,0.0169,0.0116,0.176,0.1615,0.0219
baseline,,0.0,11,0.0226,0.0081,0.0787,0.0043,0.0119,1.0124,0.0026
baseline,,0.0,12,0.0546,0.0311,0.0236,0.1204,0.036,0.0732,0.7881
baseline,,0.0,13,0.0365,0.0236,0.0721,0.2139,0.0071,0.5578,0.0115
anger,12,8.0,0,0.0728,0.0522,0.0377,0.0386,0.0401,0.0775,0.8184
anger,12,8.0,1,0.7582,0.0396,0.0084,0.0021,0.0434,0.3346,0.0214
anger,12,8.0,2,0.8611,0.0334,0.0263,0.0014,0.0084,0.1921,0.0041
anger,12,8.0,3,1.1258,0.0114,0.0035,0.0011,0.0055,0.0645,0.003
anger,12,8.0,4,0.0259,0.0137,1.0089,0.0016,0.0267,0.0509,0.0035
anger,12,8.0,5,0.0548,0.0079,0.5444,0.0009,0.0267,0.0302,0.0022
anger,12,8.0,6,0.131,0.0084,0.028,0.0034,0.0163,0.8424,0.0031
anger,12,8.0,7,0.4142,0.0224,0.008,0.0022,0.0087,0.6527,0.0073
anger,12,8.0,8,0.1023,0.0207,0.0456,0.0038,0.0118,0.8659,0.004
anger,12,8.0,9,0.0401,0.006,0.0636,0.0083,0.0249,1.0215,0.0078
anger,12,8.0,10,0.0343,0.0093,0.0169,0.0082,0.0108,1.0681,0.0022
anger,12,8.0,11,0.0471,0.0135,0.0523,0.0036,0.0107,0.9942,0.0046
anger,12,8.0,12,0.0862,0.0322,0.0255,0.0694,0.1074,0.0903,0.817
anger,12,8.0,13,0.1065,0.0474,0.0576,0.0452,0.0236,0.1564,0.7546
disgust,12,8.0,0,0.6594,0.0912,0.0825,0.001,0.0117,0.1497,0.0064
disgust,12,8.0,1,0.7038,0.1894,0.0116,0.001,0.0079,0.2722,0.0142
disgust,12,8.0,2,0.0671,0.2099,0.0541,0.0041,0.0158,0.5863,0.0152
disgust,12,8.0,3,0.5308,0.5311,0.0349,0.001,0.0063,0.0919,0.0116
disgust,12,8.0,4,0.5029,0.2694,0.0914,0.0008,0.0063,0.1505,0.0095
disgust,12,8.0,5,0.0883,0.0686,0.6361,0.0007,0.0152,0.0497,0.005
disgust,12,8.0,6,0.0753,0.0109,0.009,0.2501,0.0076,0.8226,0.0145
disgust,12,8.0,7,0.0248,0.0134,0.0093,0.6064,0.0097,0.7363,0.0207
disgust,12,8.0,8,0.018,0.0102,0.0096,0.2791,0.0066,0.9192,0.008
disgust,12,8.0,9,0.2915,0.0849,0.3088,0.0009,0.0378,0.1286,0.02
disgust,12,8.0,10,0.0452,0.0151,0.0156,0.0173,0.0157,0.8753,0.0024
disgust,12,8.0,11,0.2163,0.0645,0.2568,0.0004,0.0317,0.0969,0.012
disgust,12,8.0,12,0.1201,0.0438,0.0105,0.4049,0.0194,0.5903,0.0517
disgust,12,8.0,13,0.3248,0.5936,0.0563,0.0013,0.0122,0.1682,0.0134
fear,12,8.0,0,0.0534,0.0283,0.1084,0.0528,0.0315,0.0858,0.7277
fear,12,8.0,1,0.7746,0.0328,0.0286,0.002,0.0173,0.098,0.0434
fear,12,8.0,2,0.1084,0.0424,0.655,0.0031,0.012,0.1145,0.0173
fear,12,8.0,3,0.5002,0.0501,0.0411,0.0009,0.0191,0.1231,0.0079
fear,12,8.0,4,0.1082,0.0246,0.5722,0.0014,0.0166,0.326,0.0063
fear,12,8.0,5,0.0447,0.0353,0.7917,0.0013,0.0171,0.1467,0.0086
fear,12,8.0,6,0.0262,0.0148,1.0613,0.0024,0.0361,0.0628,0.0103
fear,12,8.0,7,0.0414,0.0081,0.0115,0.0243,0.0101,0.3773,0.0023
fear,12,8.0,8,0.0104,0.0034,0.5089,0.0039,0.6338,0.1622,0.0044
fear,12,8.0,9,0.0197,0.0027,0.0169,0.0032,0.0211,0.0588,0.0069
fear,12,8.0,10,0.0188,0.0077,0.0237,0.0343,0.0124,0.8699,0.0017
fear,12,8.0,11,0.0264,0.0108,0.6262,0.0054,0.0131,0.411,0.0031
fear,12,8.0,12,0.0818,0.0338,0.0542,0.1384,0.022,0.2304,0.6195
fear,12,8.0,13,0.1395,0.024,0.6928,0.0044,0.0179,0.3045,0.0167
guilt,12,8.0,0,0.0962,0.0093,0.7257,0.0055,0.0437,0.1844,0.0376
guilt,12,8.0,1,0.1734,0.0109,0.0067,0.3026,0.007,0.3973,0.0812
guilt,12,8.0,2,0.0279,0.0086,0.0102,0.3501,0.0119,0.4167,0.0155
guilt,12,8.0,3,0.1718,0.0263,0.006,0.0036,0.0213,0.1592,0.0042
guilt,12,8.0,4,0.023,0.0102,0.7346,0.0025,0.0154,0.0481,0.0019
guilt,12,8.0,5,0.0437,0.006,0.1864,0.0054,0.0082,0.1742,0.0047
guilt,12,8.0,6,0.1187,0.0141,0.0552,0.0109,0.0243,0.8757,0.0238
guilt,12,8.0,7,0.0496,0.0407,0.0105,0.3772,0.0085,0.5834,0.0283
guilt,12,8.0,8,0.0205,0.0133,0.7128,0.0077,0.0307,0.0699,0.0043
guilt,12,8.0,9,0.0176,0.007,0.0212,0.0851,0.0201,1.0474,0.0055
guilt,12,8.0,10,0.0213,0.0071,0.0152,0.0351,0.0102,0.8619,0.0018
guilt,12,8.0,11,0.1003,0.0209,0.0179,0.0057,0.0115,0.2797,0.0032
guilt,12,8.0,12,0.0314,0.0044,0.8754,0.0119,0.0566,0.2127,0.0244
guilt,12,8.0,13,0.0712,0.0426,0.0272,0.0674,0.011,0.6659,0.0082
joy,12,8.0,0,0.0087,0.0018,0.0101,0.0008,1.0786,0.0063,0.0018
joy,12,8.0,1,0.0057,0.0007,0.0023,0.0005,1.0877,0.0042,0.0009
joy,12,8.0,2,0.0172,0.0032,0.0135,0.0021,0.13,0.0472,0.0111
joy,12,8.0,3,0.0119,0.0017,0.0023,0.0011,0.3948,0.0146,0.001
joy,12,8.0,4,0.0103,0.0029,0.2676,0.0018,0.8225,0.0241,0.0032
joy,12,8.0,5,0.0097,0.0045,0.621,0.0018,0.5125,0.037,0.004
joy,12,8.0,6,0.0129,0.002,0.0251,0.0016,1.0353,0.0284,0.0025
joy,12,8.0,7,0.0065,0.001,0.0031,0.0017,0.2393,0.0137,0.0015
joy,12,8.0,8,0.0089,0.0015,0.0041,0.0005,0.4321,0.0066,0.0015
joy,12,8.0,9,0.0052,0.0009,0.0046,0.0011,1.0298,0.0097,0.0012
joy,12,8.0,10,0.0082,0.0018,0.0139,0.0021,0.8634,0.0708,0.0013
joy,12,8.0,11,0.0351,0.0097,0.0281,0.0032,0.2205,0.3151,0.0044
joy,12,8.0,12,0.0457,0.011,0.0244,0.0775,0.2509,0.0872,0.5907
joy,12,8.0,13,0.0387,0.0193,0.028,0.044,0.0817,0.1058,0.3847
sadness,12,8.0,0,0.4229,0.0255,0.005,0.0024,0.0098,0.5782,0.0053
sadness,12,8.0,1,0.3862,0.0097,0.0043,0.0013,0.3919,0.0313,0.0121
sadness,12,8.0,2,0.076,0.0744,0.0752,0.0017,0.0136,0.6636,0.02
sadness,12,8.0,3,0.0534,0.0027,0.0038,0.0004,0.9329,0.0114,0.0019
sadness,12,8.0,4,0.5007,0.1166,0.0226,0.0013,0.017,0.2807,0.0066
sadness,12,8.0,5,0.0197,0.0112,0.1578,0.001,0.0169,0.07,0.0093
sadness,12,8.0,6,0.0436,0.008,0.0465,0.0064,0.1275,0.2849,0.0053
sadness,12,8.0,7,0.0868,0.0113,0.0469,0.0041,0.0087,0.9749,0.0059
sadness,12,8.0,8,0.022,0.0049,0.3356,0.0053,0.0407,0.2851,0.0043
sadness,12,8.0,9,0.2032,0.013,0.0698,0.0016,0.0101,0.307,0.0223
sadness,12,8.0,10,0.03,0.0047,0.0146,0.0096,0.0383,1.0347,0.0026
sadness,12,8.0,11,0.0629,0.0214,0.049,0.0018,0.0429,0.6814,0.0098
sadness,12,8.0,12,0.156,0.0262,0.1353,0.0033,0.0103,0.6107,0.0295
sadness,12,8.0,13,0.1631,0.0645,0.0326,0.006,0.0097,0.2719,0.0058
shame,12,8.0,0,0.2171,0.1601,0.3939,0.0013,0.0274,0.2225,0.0498
shame,12,8.0,1,0.2892,0.0879,0.0237,0.0091,0.6561,0.1253,0.1509
shame,12,8.0,2,0.0129,0.0048,0.0166,0.6142,0.0139,0.7,0.0243
shame,12,8.0,3,0.7515,0.0684,0.0775,0.001,0.0093,0.1387,0.0068
shame,12,8.0,4,0.2859,0.2996,0.3934,0.001,0.0245,0.0829,0.0142
shame,12,8.0,5,0.0683,0.0282,0.3454,0.0013,0.0258,0.0953,0.0058
shame,12,8.0,6,0.0942,0.0363,0.0318,0.0619,0.0656,0.0896,0.8104
shame,12,8.0,7,0.024,0.0108,0.0081,0.2807,0.0212,0.4235,0.0085
shame,12,8.0,8,0.0142,0.0049,0.0108,0.57,0.01,0.7555,0.0093
shame,12,8.0,9,0.2499,0.0919,0.131,0.0169,0.0159,0.2608,0.4476
shame,12,8.0,10,0.0236,0.0112,0.8967,0.0069,0.0219,0.6077,0.0063
shame,12,8.0,11,1.1024,0.0456,0.0054,0.001,0.0054,0.0572,0.0043
