steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,,0.0,0,0.0209,0.0031,0.4209,0.0018,0.0256,0.0406,0.007
baseline,,0.0,1,0.0166,0.0012,0.0034,0.0008,0.4876,0.0115,0.0031
baseline,,0.0,2,0.1165,0.0533,0.0672,0.0016,0.0098,0.2191,0.0216
baseline,,0.0,3,0.1754,0.0044,0.0174,0.0016,0.0248,0.1794,0.0079
baseline,,0.0,4,0.0122,0.0042,1.0999,0.0021,0.0611,0.0389,0.005
baseline,,0.0,5,0.0155,0.0024,0.2287,0.0048,0.7218,0.041,0.0139
baseline,,0.0,6,0.024,0.0039,0.0108,0.014,0.0636,0.0461,0.0186
baseline,,0.0,7,0.0947,0.0155,0.0121,0.0185,0.0073,0.5232,0.0221
baseline,,0.0,8,0.0063,0.001,0.0042,0.001,0.7834,0.0174,0.001
baseline,,0.0,9,0.0066,0.0016,0.0135,0.0012,0.3517,0.0204,0.0036
baseline,,0.0,10,0.0295,0.0032,0.0169,0.0116,0.176,0.1615,0.0219
baseline,,0.0,11,0.0226,0.0081,0.0787,0.0043,0.0119,1.0124,0.0026
baseline,,0.0,12,0.0546,0.0311,0.0236,0.1204,0.036,0.0732,0.7881
baseline,,0.0,13,0.0365,0.0236,0.0721,0.2139,0.0071,0.5578,0.0115
anger,12,8.0,0,0.0911,0.0471,0.0424,0.0604,0.0238,0.1377,0.7337
anger,12,8.0,1,0.4641,0.0131,0.0114,0.0014,0.0106,0.1309,0.0247
anger,12,8.0,2,0.1272,0.0566,0.0722,0.0039,0.0119,0.7229,0.0246
anger,12,8.0,3,0.9469,0.0134,0.0015,0.0008,0.005,0.0487,0.005
anger,12,8.0,4,0.096,0.0172,1.0056,0.0016,0.0281,0.0537,0.0049
anger,12,8.0,5,0.0196,0.0069,0.9677,0.0017,0.2981,0.0488,0.0051
anger,12,8.0,6,0.2569,0.0386,0.1036,0.0014,0.0543,0.254,0.0131
anger,12,8.0,7,0.0747,0.008,0.0087,0.6577,0.0089,0.4325,0.0267
anger,12,8.0,8,0.0153,0.0129,1.0705,0.0018,0.0563,0.0671,0.0057
anger,12,8.0,9,0.0407,0.0035,0.1267,0.0053,0.0355,0.2162,0.0102
anger,12,8.0,10,0.0572,0.016,1.0164,0.0026,0.0178,0.1483,0.0058
anger,12,8.0,11,0.0583,0.008,0.2029,0.0054,0.0096,0.5366,0.0053
anger,12,8.0,12,0.1204,0.0428,0.0236,0.0474,0.0292,0.1187,0.8271
anger,12,8.0,13,0.2082,0.4748,0.0913,0.0015,0.0082,0.1945,0.0209
disgust,12,8.0,0,0.1125,0.0116,0.2676,0.0035,0.1468,0.15,0.0142
disgust,12,8.0,1,0.0368,0.0055,0.0463,0.0838,0.3259,0.1196,0.2618
disgust,12,8.0,2,0.1718,0.1198,0.1479,0.0018,0.0228,0.1442,0.0384
disgust,12,8.0,3,0.2445,0.6539,0.176,0.0007,0.0151,0.064,0.0196
disgust,12,8.0,4,0.0132,0.0023,0.0307,0.0012,0.5647,0.0201,0.0064
disgust,12,8.0,5,0.0269,0.0157,0.967,0.0017,0.0202,0.0538,0.0034
disgust,12,8.0,6,0.0415,0.0049,0.093,0.0219,0.4905,0.1277,0.0488
disgust,12,8.0,7,0.0313,0.0072,0.0078,0.1312,0.0077,0.9961,0.0067
disgust,12,8.0,8,0.0176,0.0118,0.7209,0.0019,0.0938,0.3509,0.0048
disgust,12,8.0,9,0.0053,0.001,0.0137,0.0008,0.2139,0.013,0.0013
disgust,12,8.0,10,0.0279,0.0096,0.0207,0.0134,0.0234,0.7953,0.0029
disgust,12,8.0,11,0.0165,0.0117,0.9879,0.0023,0.0267,0.2657,0.0071
disgust,12,8.0,12,0.0865,0.0334,0.0237,0.119,0.0265,0.1154,0.7954
disgust,12,8.0,13,0.0685,0.0717,0.1458,0.0447,0.0331,0.2529,0.6531
fear,12,8.0,0,0.0982,0.0177,0.0709,0.0037,0.0183,0.4301,0.0046
fear,12,8.0,1,0.0756,0.0095,0.189,0.0063,0.0245,0.0939,0.0212
fear,12,8.0,2,0.0371,0.0056,0.4163,0.0153,0.0134,0.3308,0.0044
fear,12,8.0,3,0.0526,0.0283,0.0694,0.0377,0.0373,0.0779,0.7506
fear,12,8.0,4,0.1023,0.0152,0.8155,0.0037,0.0169,0.3514,0.0151
fear,12,8.0,5,0.0315,0.0106,0.4173,0.0014,0.0444,0.0411,0.0057
fear,12,8.0,6,0.0723,0.0058,0.5142,0.0014,0.178,0.0439,0.0066
fear,12,8.0,7,0.01,0.0036,0.0246,0.0085,0.087,0.0555,0.0152
fear,12,8.0,8,0.0139,0.0071,0.0357,0.0051,0.0216,0.9567,0.0049
fear,12,8.0,9,0.0145,0.003,0.0545,0.0035,0.0182,0.0719,0.0117
fear,12,8.0,10,0.0139,0.0047,1.089,0.0031,0.0735,0.3144,0.0044
fear,12,8.0,11,0.0206,0.0052,0.0525,0.0047,0.0209,0.1632,0.0035
fear,12,8.0,12,0.1957,0.028,0.0335,0.0066,0.0116,0.4566,0.0134
fear,12,8.0,13,0.1166,0.0284,0.1153,0.0081,0.017,0.3912,0.0113
guilt,12,8.0,0,0.373,0.0276,0.0096,0.0121,0.0088,0.4401,0.0141
guilt,12,8.0,1,0.9795,0.0774,0.0088,0.0022,0.0039,0.121,0.0076
guilt,12,8.0,2,0.0985,0.0142,0.0153,0.0152,0.0075,0.2397,0.006
guilt,12,8.0,3,0.0348,0.0032,0.0054,0.0768,0.0402,0.8433,0.0056
guilt,12,8.0,4,0.0228,0.0093,0.3565,0.0339,0.0179,0.3182,0.0433
guilt,12,8.0,5,0.0745,0.0091,0.0503,0.0025,0.0623,0.5464,0.0088
guilt,12,8.0,6,0.0786,0.0051,0.0093,0.0304,0.0151,0.5028,0.0134
guilt,12,8.0,7,0.2647,0.1217,0.0196,0.0087,0.0066,0.3722,0.0078
guilt,12,8.0,8,0.0321,0.0141,0.0117,0.019,0.0148,0.4427,0.0029
guilt,12,8.0,9,0.0296,0.0088,0.008,0.0505,0.0092,0.3514,0.0063
guilt,12,8.0,10,0.0353,0.0067,0.0082,0.0058,0.0117,0.2546,0.003
guilt,12,8.0,11,0.0371,0.0052,0.0056,0.2529,0.0414,0.7,0.0321
guilt,12,8.0,12,0.2235,0.0232,0.0228,0.0221,0.0166,0.3532,0.1395
guilt,12,8.0,13,0.0282,0.0093,0.0079,0.6453,0.0083,0.5339,0.0213
joy,12,8.0,0,0.016,0.0019,0.2026,0.0024,1.0212,0.0339,0.0077
joy,12,8.0,1,0.0062,0.0015,0.0084,0.0006,1.0305,0.0051,0.0014
joy,12,8.0,2,0.0158,0.0042,0.065,0.4428,0.0129,0.6976,0.0098
joy,12,8.0,3,0.0067,0.001,0.002,0.0011,1.438,0.007,0.0014
joy,12,8.0,4,0.0185,0.0015,0.2077,0.0031,0.8218,0.0528,0.0037
joy,12,8.0,5,0.004,0.001,0.0035,0.0004,0.3289,0.0067,0.0006
joy,12,8.0,6,0.0156,0.0019,0.025,0.0024,0.5864,0.0411,0.0082
joy,12,8.0,7,0.0324,0.0043,0.0061,0.0308,0.0085,0.919,0.0047
joy,12,8.0,8,0.0086,0.0015,0.0075,0.0019,0.9483,0.0236,0.0012
joy,12,8.0,9,0.0074,0.002,0.0062,0.0007,0.8072,0.0084,0.0022
joy,12,8.0,10,0.0065,0.0011,0.0123,0.0017,0.8133,0.0551,0.0009
joy,12,8.0,11,0.0079,0.0043,0.5995,0.0024,0.0752,0.0868,0.0018
joy,12,8.0,12,0.0321,0.0068,0.0437,0.1167,0.1861,0.0841,0.4969
joy,12,8.0,13,0.0527,0.0117,0.0407,0.1436,0.2204,0.3734,0.3231
sadness,12,8.0,0,0.0234,0.014,1.0253,0.0026,0.0255,0.0847,0.0108
sadness,12,8.0,1,0.0506,0.0091,0.5313,0.0039,0.0066,0.1074,0.0088
sadness,12,8.0,2,0.5521,0.1403,0.047,0.0031,0.0062,0.3817,0.0143
sadness,12,8.0,3,0.0921,0.015,0.0031,0.0031,0.0328,0.1026,0.0023
sadness,12,8.0,4,0.2836,0.0247,0.0183,0.0017,0.0059,0.4854,0.0057
sadness,12,8.0,5,0.0164,0.0213,0.316,0.0011,0.0216,0.0618,0.0104
sadness,12,8.0,6,0.0363,0.0059,0.4559,0.0021,0.0763,0.1996,0.0053
sadness,12,8.0,7,0.0286,0.0032,0.0065,0.0258,0.0198,0.6358,0.0075
sadness,12,8.0,8,0.0141,0.0057,0.7009,0.0024,0.2024,0.336,0.004
sadness,12,8.0,9,0.0208,0.0066,0.0073,0.0073,0.0462,0.1332,0.0026
sadness,12,8.0,10,0.0151,0.0037,0.0165,0.0188,0.0221,1.018,0.0018
sadness,12,8.0,11,0.0536,0.0056,0.0109,0.0022,0.0286,0.8007,0.005
sadness,12,8.0,12,0.2293,0.1621,0.111,0.0027,0.0084,0.5808,0.0203
sadness,12,8.0,13,0.1014,0.0212,0.0233,0.0202,0.0087,0.7015,0.004
shame,12,8.0,0,0.0978,0.0393,0.022,0.0737,0.0315,0.084,0.8099
shame,12,8.0,1,0.0974,0.0242,0.0277,0.0613,0.0673,0.0901,0.7664
shame,12,8.0,2,0.1935,0.0828,0.0417,0.0422,0.0157,0.1319,0.7177
shame,12,8.0,3,0.1271,0.073,0.0664,0.0309,0.0359,0.0999,0.7908
shame,12,8.0,4,0.0308,0.0246,0.9799,0.0046,0.0238,0.0567,0.0405
shame,12,8.0,5,0.0766,0.1062,0.1203,0.0015,0.0175,0.1395,0.0131
shame,12,8.0,6,0.0474,0.0064,0.0162,0.0011,0.3251,0.021,0.0024
shame,12,8.0,7,0.0668,0.0158,0.0065,0.0127,0.0102,0.3514,0.004
shame,12,8.0,8,0.0844,0.0179,0.0111,0.0105,0.0102,0.4841,0.0055
shame,12,8.0,9,0.7149,0.0226,0.0295,0.004,0.0042,0.3638,0.0291
shame,12,8.0,10,0.0213,0.012,1.0258,0.0025,0.0235,0.1527,0.0055
shame,12,8.0,11,0.5208,0.0179,0.0308,0.0044,0.0035,0.6278,0.0083
