steer,layer,coeff,prompt_id,anger,disgust,fear,guilt,joy,sadness,shame
baseline,,0.0,0,0.0094,0.0032,0.6199,0.0047,0.2195,0.038,0.0079
baseline,,0.0,1,0.0458,0.0027,0.0088,0.0032,0.0072,0.1047,0.0094
baseline,,0.0,2,0.0133,0.005,0.0138,0.0112,0.0131,0.981,0.0031
baseline,,0.0,3,0.0929,0.003,0.0102,0.002,0.0302,0.1124,0.0044
baseline,,0.0,4,0.0246,0.0112,0.7939,0.004,0.0272,0.0834,0.0173
baseline,,0.0,5,0.0087,0.0074,0.8843,0.0019,0.0712,0.0267,0.0078
baseline,,0.0,6,0.0137,0.0043,0.0616,0.0077,0.1354,0.0369,0.0275
baseline,,0.0,7,0.0226,0.0041,0.0138,0.0165,0.0393,0.1192,0.0179
baseline,,0.0,8,0.0064,0.0011,0.014,0.0015,0.8267,0.0483,0.0018
baseline,,0.0,9,0.0044,0.001,0.0044,0.001,0.0506,0.0101,0.0019
baseline,,0.0,10,0.0168,0.0028,0.0094,0.0087,0.0173,1.0001,0.0022
baseline,,0.0,11,0.0104,0.0025,0.0287,0.0072,0.0131,0.8284,0.0031
baseline,,0.0,12,0.0414,0.0105,0.0199,0.0372,0.0429,0.0638,0.522
baseline,,0.0,13,0.0207,0.004,0.0111,0.5453,0.0167,0.2498,0.0602
anger,14,8.0,0,0.8039,0.0076,0.0043,0.0014,0.0054,0.2587,0.0037
anger,14,8.0,1,0.6866,0.0133,0.0054,0.002,0.0062,0.4001,0.0136
anger,14,8.0,2,0.0201,0.0039,0.0219,0.5638,0.0108,0.8645,0.0144
anger,14,8.0,3,0.7233,0.0142,0.0043,0.0016,0.0118,0.4531,0.0051
anger,14,8.0,4,0.0793,0.0181,0.93,0.0015,0.0202,0.0637,0.0052
anger,14,8.0,5,0.0105,0.006,0.1675,0.001,0.0207,0.0242,0.0026
anger,14,8.0,6,0.042,0.0066,0.1006,0.0018,0.6806,0.0591,0.0074
anger,14,8.0,7,0.1124,0.0104,0.0085,0.0068,0.0058,0.9896,0.004
anger,14,8.0,8,0.015,0.009,0.0952,0.0347,0.0132,0.9812,0.0042
anger,14,8.0,9,0.0166,0.0035,0.0294,0.0048,0.0624,0.1304,0.0108
anger,14,8.0,10,0.0221,0.0063,0.0672,0.01,0.0995,0.8963,0.0082
anger,14,8.0,11,0.0251,0.0076,0.0152,0.0093,0.0074,1.009,0.0019
anger,14,8.0,12,0.0215,0.0037,0.997,0.0046,0.0552,0.1165,0.0095
anger,14,8.0,13,0.0165,0.0045,0.0153,0.5575,0.012,0.712,0.0324
disgust,14,8.0,0,0.0257,0.023,1.1737,0.0047,0.0286,0.094,0.0297
disgust,14,8.0,1,0.0949,0.0369,0.1034,0.0075,0.0137,0.8238,0.0183
disgust,14,8.0,2,0.0154,0.0067,0.0096,0.6394,0.0101,0.8107,0.0097
disgust,14,8.0,3,0.2598,0.0282,0.0091,0.004,0.011,0.3629,0.004
disgust,14,8.0,4,0.0546,0.0293,0.0955,0.003,0.009,0.8302,0.0048
disgust,14,8.0,5,0.169,0.0416,0.6373,0.0013,0.0137,0.1765,0.0049
disgust,14,8.0,6,0.0979,0.0233,0.0437,0.0258,0.0583,0.2362,0.6041
disgust,14,8.0,7,1.0113,0.0361,0.0037,0.0072,0.0058,0.0819,0.0073
disgust,14,8.0,8,0.0237,0.0164,1.1023,0.0022,0.0253,0.131,0.0055
disgust,14,8.0,9,0.2296,0.0529,0.0723,0.0187,0.0182,0.437,0.2147
disgust,14,8.0,10,0.0329,0.0043,0.029,0.0105,0.0123,1.1356,0.004
disgust,14,8.0,11,0.0277,0.0167,0.8918,0.0035,0.0187,0.3569,0.0047
disgust,14,8.0,12,0.39,0.0803,0.0281,0.0168,0.0156,0.1654,0.5325
disgust,14,8.0,13,0.1606,0.0502,0.1192,0.0295,0.0129,0.3891,0.3556
fear,14,8.0,0,0.1839,0.031,0.5992,0.0019,0.0237,0.2724,0.0112
fear,14,8.0,1,0.0515,0.002,0.017,0.0015,0.0039,0.1314,0.0022
fear,14,8.0,2,0.1454,0.0227,0.1786,0.0057,0.009,0.8872,0.0055
fear,14,8.0,3,0.0593,0.0308,0.8321,0.0013,0.0112,0.1812,0.0045
fear,14,8.0,4,0.0457,0.0137,0.9956,0.001,0.026,0.0389,0.0048
fear,14,8.0,5,0.0262,0.0056,0.6132,0.0049,0.0348,0.5064,0.007
fear,14,8.0,6,0.0267,0.0078,0.7339,0.0045,0.0848,0.1017,0.0414
fear,14,8.0,7,0.0151,0.0018,0.0137,0.0082,0.0671,0.337,0.0025
fear,14,8.0,8,0.012,0.0058,0.2468,0.0027,0.1949,0.5122,0.0049
fear,14,8.0,9,0.0074,0.002,0.0099,0.0007,0.7483,0.0091,0.0023
fear,14,8.0,10,0.0173,0.0041,0.1523,0.0117,0.0974,0.8447,0.0045
fear,14,8.0,11,0.0188,0.007,0.1036,0.0097,0.012,0.9355,0.0025
fear,14,8.0,12,0.0887,0.0373,0.028,0.054,0.0307,0.1265,0.8266
fear,14,8.0,13,0.3941,0.0725,0.0403,0.0018,0.2093,0.1668,0.0543
guilt,14,8.0,0,0.2567,0.0055,0.0146,0.0033,0.0101,0.6515,0.0107
guilt,14,8.0,1,0.1675,0.0104,0.0223,0.0041,0.0053,0.2118,0.0594
guilt,14,8.0,2,0.0178,0.0041,0.0231,0.0849,0.0092,0.9689,0.0067
guilt,14,8.0,3,0.0483,0.002,0.0023,0.0004,0.6712,0.0109,0.0019
guilt,14,8.0,4,0.0215,0.0106,0.9684,0.0013,0.0295,0.0324,0.0035
guilt,14,8.0,5,0.0168,0.0037,0.2202,0.0026,0.6487,0.0497,0.0082
guilt,14,8.0,6,0.0801,0.0143,0.1427,0.0014,0.5076,0.0785,0.0222
guilt,14,8.0,7,0.0134,0.0027,0.0083,0.5861,0.0066,0.5093,0.0092
guilt,14,8.0,8,0.0093,0.0049,1.0739,0.0045,0.1387,0.201,0.0054
guilt,14,8.0,9,0.0122,0.0026,0.0155,0.0166,0.023,1.0254,0.0035
guilt,14,8.0,10,0.0551,0.0053,0.0139,0.0047,0.0157,1.0121,0.0039
guilt,14,8.0,11,0.0315,0.01,0.0115,0.0173,0.0125,0.5465,0.0033
guilt,14,8.0,12,0.0288,0.0077,0.2569,0.0605,0.0429,0.098,0.4118
guilt,14,8.0,13,0.1046,0.0057,0.0145,0.0075,0.005,0.9672,0.0054
joy,14,8.0,0,0.0075,0.0019,0.0157,0.0006,1.1101,0.006,0.0023
joy,14,8.0,1,0.0092,0.0023,0.0065,0.0004,0.8573,0.0057,0.0016
joy,14,8.0,2,0.0279,0.0032,0.1702,0.0098,0.108,0.8059,0.0072
joy,14,8.0,3,0.0108,0.0007,0.0029,0.0003,0.3257,0.0066,0.0009
joy,14,8.0,4,0.0074,0.0008,0.0016,0.0002,0.6767,0.0029,0.0006
joy,14,8.0,5,0.0062,0.0008,0.0062,0.0007,1.0461,0.0069,0.0013
joy,14,8.0,6,0.0172,0.0022,0.0134,0.0032,0.3278,0.1455,0.0109
joy,14,8.0,7,0.0086,0.0013,0.0051,0.0013,0.7466,0.0167,0.0023
joy,14,8.0,8,0.0071,0.0017,0.0059,0.0008,0.5307,0.0125,0.0015
joy,14,8.0,9,0.0055,0.0011,0.0058,0.0006,1.0824,0.005,0.0016
joy,14,8.0,10,0.0054,0.0019,0.0064,0.0006,0.897,0.005,0.0011
joy,14,8.0,11,0.0089,0.0023,0.036,0.0029,0.1247,0.3592,0.0043
joy,14,8.0,12,0.0995,0.0323,0.0168,0.1069,0.026,0.1217,0.8086
joy,14,8.0,13,0.0803,0.0384,0.0192,0.0662,0.0391,0.1281,0.7888
sadness,14,8.0,0,0.0476,0.0243,0.0108,0.0532,0.7945,0.0979,0.3837
sadness,14,8.0,1,0.0467,0.0035,0.01,0.0041,0.0065,0.9445,0.0034
sadness,14,8.0,2,0.0429,0.0196,0.2496,0.0032,0.0109,0.645,0.0118
sadness,14,8.0,3,0.7837,0.0092,0.0045,0.0013,0.0457,0.2106,0.0058
sadness,14,8.0,4,0.0828,0.007,0.2757,0.0043,0.0076,0.6749,0.0089
sadness,14,8.0,5,0.0211,0.0162,0.892,0.0015,0.019,0.0773,0.0062
sadness,14,8.0,6,0.0191,0.0043,0.0237,0.0018,0.4046,0.0383,0.0137
sadness,14,8.0,7,0.0411,0.004,0.0114,0.0107,0.0086,0.9135,0.0057
sadness,14,8.0,8,0.0271,0.003,0.0299,0.0041,0.0585,0.776,0.0033
sadness,14,8.0,9,0.0075,0.0024,0.0091,0.0023,0.1375,0.0247,0.0058
sadness,14,8.0,10,0.0253,0.0039,0.0137,0.0048,0.0178,1.0131,0.0029
sadness,14,8.0,11,0.021,0.004,0.0148,0.0102,0.009,1.0286,0.0017
sadness,14,8.0,12,0.2666,0.0096,0.0096,0.008,0.0067,0.8326,0.0158
sadness,14,8.0,13,0.0456,0.005,0.0114,0.0078,0.0043,1.0276,0.0039
shame,14,8.0,0,0.012,0.0021,0.8517,0.0062,0.0706,0.0852,0.005
shame,14,8.0,1,0.0083,0.0021,0.0087,0.0006,0.8839,0.0065,0.0019
shame,14,8.0,2,0.0819,0.0094,0.0582,0.0067,0.0085,1.1318,0.0055
shame,14,8.0,3,0.076,0.0372,0.0246,0.0874,0.0278,0.2202,0.7524
shame,14,8.0,4,0.0223,0.0183,1.0218,0.0041,0.0207,0.0531,0.0179
shame,14,8.0,5,0.0229,0.0144,0.8403,0.0017,0.0453,0.0975,0.0123
shame,14,8.0,6,0.0675,0.007,0.0799,0.0014,0.4337,0.1192,0.0157
shame,14,8.0,7,0.0242,0.004,0.0126,0.0113,0.0237,0.889,0.0044
shame,14,8.0,8,0.0198,0.0085,0.1277,0.004,0.037,0.7558,0.0127
shame,14,8.0,9,0.0293,0.0046,0.0277,0.0216,0.642,0.293,0.0656
shame,14,8.0,10,0.0181,0.004,0.0234,0.0117,0.0218,1.0641,0.0042
shame,14,8.0,11,0.0519,0.0136,0.0352,0.0047,0.0092,0.9963,0.0034
shame,14,8.0,12,0.0552,0.0292,0.0602,0.0743,0.0403,0.0804,0.7702
shame,14,8.0,13,0.0467,0.0198,0.5224,0.0047,0.0268,0.394,0.0084
